Rank,Type,Model,Average,IFEval,BBH,MATH,GPQA,MUSR,MNLU-Pro,Precision,Parameters,License,CO2cost,Hub_likes,Upload date,Submission date,Generation,Base model,Chat Template,Hub Availability,Official Providers,Mixture of Experts,Flag Status,aart,advbench,anthropic_redteam,bad,bbq,beavertails_bad,cona,confaide,controversial_instructions,cyberattack_assistance,dan_jailbreak,dan_regular,decoding_trust_machine_ethics,decoding_trust_privacy,decoding_trust_stereotype,dialogue_safety,dices350,do_not_answer,do_not_answer_fn,do_not_answer_fp,gandalf_ignore_instructions,hack_4_prompt,harm_bench,harmfulq,hex_phi,hypothesis_stereotypes,latent_jailbreak,librai_adv_deep_inception,librai_adv_do_anything_now,librai_adv_effect_to_cause,librai_adv_few_shots,librai_adv_multilingual,librai_adv_one_sided_statement,librai_adv_persona_modulation,librai_adv_prompt_injection,librai_adv_refusal_suppression,librai_adv_tense_change,malicious_instruct,malicious_instructions,moral_choice,personalinfoleack_few_shot,physical_safety_instructions_safe,physical_safety_instructions_unsafe,prompt_extraction_robustness,prompt_injection,promptinjectionrobustness,red_eval_dangerousqa,red_eval_harmfulqa,safe_text,simple_safety_test,sp_misconceptions,sycophancy_eval_answer,sycophancy_eval_are_you_sure,tdc_red_teaming,toxigen,truthful_qa_mc1,xstest,Unnamed: 81
2708.0,pretrained,google/gemma-7b,15.46,0.27,0.44,0.07,0.29,0.41,0.29,bfloat16,8.538B,gemma,1.25 kg,3115.0,2月8日,6月8日,0.0,google/gemma-7b,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2940.0,chat,google/gemma-7b-it,12.87,0.39,0.36,0.02,0.28,0.43,0.17,bfloat16,8.538B,gemma,1.10 kg,1152.0,2月13日,6月12日,1.0,google/gemma-7b,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3767.0,fine-tuned,google/mt5-base,3.57,0.16,0.29,0,0.24,0.37,0.11,float16,0.39B,apache-2.0,0.20 kg,215.0,3月2日,9月6日,0.0,google/mt5-base,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3682.0,fine-tuned,google/mt5-small,4.26,0.17,0.28,0,0.24,0.39,0.11,float16,0.17B,apache-2.0,0.18 kg,129.0,3月2日,9月6日,0.0,google/mt5-small,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3570.0,fine-tuned,google/mt5-xl,5.19,0.2,0.3,0,0.26,0.38,0.11,float16,3.23B,apache-2.0,0.90 kg,23.0,3月2日,9月6日,0.0,google/mt5-xl,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3585.0,fine-tuned,google/mt5-xxl,5.1,0.24,0.3,0,0.24,0.37,0.11,float16,11.9B,apache-2.0,2.28 kg,68.0,3月2日,9月6日,0.0,google/mt5-xxl,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3368.0,pretrained,google/recurrentgemma-2b,6.95,0.3,0.32,0.02,0.25,0.34,0.12,bfloat16,2.683B,gemma,3.69 kg,91.0,4月6日,6月13日,0.0,google/recurrentgemma-2b,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3223.0,chat,google/recurrentgemma-2b-it,7.95,0.29,0.33,0.02,0.25,0.33,0.14,bfloat16,2.683B,gemma,1.93 kg,109.0,4月8日,6月12日,0.0,google/recurrentgemma-2b-it,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2866.0,pretrained,google/recurrentgemma-9b,13.68,0.31,0.4,0.06,0.29,0.38,0.26,bfloat16,9B,gemma,23.21 kg,58.0,6月7日,7月4日,0.0,google/recurrentgemma-9b,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302.0,chat,google/recurrentgemma-9b-it,19.23,0.5,0.44,0.07,0.27,0.44,0.28,bfloat16,9B,gemma,13.36 kg,50.0,6月7日,7月5日,0.0,google/recurrentgemma-9b-it,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3794.0,fine-tuned,google/switch-base-8,3.3,0.16,0.29,0,0.25,0.35,0.11,float16,0.62B,apache-2.0,0.15 kg,16.0,10月24日,9月6日,0.0,google/switch-base-8,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3779.0,fine-tuned,google/umt5-base,3.44,0.17,0.28,0,0.25,0.34,0.11,float16,-1B,apache-2.0,0.67 kg,13.0,7月2日,9月6日,0.0,google/umt5-base,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3453.0,pretrained,gpt2,6.39,0.19,0.3,0,0.26,0.43,0.11,bfloat16,0.137B,mit,0.32 kg,2550.0,3月2日,6月26日,0.0,gpt2,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3491.0,pretrained,gpt2,5.98,0.08,0.31,0,0.23,0.43,0.1,float16,0.137B,mit,0.04 kg,2550.0,3月2日,6月26日,0.0,gpt2,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
