Rank,Type,Model,Average,IFEval,BBH,MATH,GPQA,MUSR,MNLU-Pro,Precision,Parameters,License,CO2cost,Hub_likes,Upload date,Submission date,Generation,Base model,Chat Template,Hub Availability,Official Providers,Mixture of Experts,Flag Status,aart,advbench,anthropic_redteam,bad,bbq,beavertails_bad,cona,confaide,controversial_instructions,cyberattack_assistance,dan_jailbreak,dan_regular,decoding_trust_machine_ethics,decoding_trust_privacy,decoding_trust_stereotype,dialogue_safety,dices350,do_not_answer,do_not_answer_fn,do_not_answer_fp,gandalf_ignore_instructions,hack_4_prompt,harm_bench,harmfulq,hex_phi,hypothesis_stereotypes,latent_jailbreak,librai_adv_deep_inception,librai_adv_do_anything_now,librai_adv_effect_to_cause,librai_adv_few_shots,librai_adv_multilingual,librai_adv_one_sided_statement,librai_adv_persona_modulation,librai_adv_prompt_injection,librai_adv_refusal_suppression,librai_adv_tense_change,malicious_instruct,malicious_instructions,moral_choice,personalinfoleack_few_shot,physical_safety_instructions_safe,physical_safety_instructions_unsafe,prompt_extraction_robustness,prompt_injection,promptinjectionrobustness,red_eval_dangerousqa,red_eval_harmfulqa,safe_text,simple_safety_test,sp_misconceptions,sycophancy_eval_answer,sycophancy_eval_are_you_sure,tdc_red_teaming,toxigen,truthful_qa_mc1,xstest,Unnamed: 81
1882.0,pretrained,ibm-granite/granite-3.0-8b-base,21.65,0.46,0.49,0.1,0.33,0.41,0.33,bfloat16,8.171B,apache-2.0,1.89 kg,22.0,10月2日,10月20日,0.0,ibm-granite/granite-3.0-8b-base,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3473.0,pretrained,ibm-granite/granite-3.1-1b-a400m-base,6.22,0.25,0.33,0.02,0.25,0.35,0.11,bfloat16,1.335B,apache-2.0,1.12 kg,5.0,12月6日,12月16日,0.0,ibm-granite/granite-3.1-1b-a400m-base,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100.0,chat,ibm-granite/granite-3.1-1b-a400m-instruct,10.05,0.47,0.33,0.04,0.24,0.33,0.12,float16,1.335B,apache-2.0,1.05 kg,13.0,12月6日,12月16日,1.0,ibm-granite/granite-3.1-1b-a400m-instruct (Merge),Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2915.0,pretrained,ibm-granite/granite-3.1-2b-base,13.19,0.35,0.4,0.06,0.28,0.35,0.23,bfloat16,2.534B,apache-2.0,0.49 kg,10.0,12月6日,12月16日,0.0,ibm-granite/granite-3.1-2b-base,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011.0,chat,ibm-granite/granite-3.1-2b-instruct,21.06,0.63,0.44,0.11,0.29,0.36,0.28,float16,2.534B,apache-2.0,0.51 kg,32.0,12月6日,12月16日,1.0,ibm-granite/granite-3.1-2b-instruct (Merge),Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3106.0,pretrained,ibm-granite/granite-3.1-3b-a800m-base,9.91,0.3,0.36,0.04,0.28,0.33,0.18,bfloat16,3.299B,apache-2.0,1.62 kg,5.0,12月6日,12月16日,0.0,ibm-granite/granite-3.1-3b-a800m-base,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532.0,chat,ibm-granite/granite-3.1-3b-a800m-instruct,17.1,0.55,0.4,0.1,0.29,0.35,0.21,float16,3.299B,apache-2.0,1.64 kg,20.0,12月6日,12月16日,1.0,ibm-granite/granite-3.1-3b-a800m-instruct (Merge),Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2174.0,pretrained,ibm-granite/granite-3.1-8b-base,20.07,0.42,0.48,0.1,0.32,0.39,0.32,float16,8.171B,apache-2.0,0.60 kg,20.0,12月6日,12月16日,0.0,ibm-granite/granite-3.1-8b-base,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622.0,chat,ibm-granite/granite-3.1-8b-instruct,30.55,0.72,0.54,0.22,0.31,0.47,0.35,float16,8.171B,apache-2.0,0.62 kg,137.0,12月6日,12月16日,1.0,ibm-granite/granite-3.1-8b-instruct (Merge),Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3235.0,pretrained,ibm-granite/granite-7b-base,7.76,0.24,0.35,0.01,0.25,0.36,0.18,bfloat16,6.738B,apache-2.0,0.65 kg,27.0,4月19日,6月12日,0.0,ibm-granite/granite-7b-base,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3009.0,chat,ibm-granite/granite-7b-instruct,11.81,0.3,0.37,0.01,0.29,0.4,0.23,bfloat16,6.738B,apache-2.0,0.71 kg,6.0,5月19日,10月2日,1.0,ibm/granite-7b-base,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560.0,chat,ibm/merlinite-7b,16.76,0.25,0.5,0.02,0.3,0.44,0.31,bfloat16,7.242B,apache-2.0,0.55 kg,104.0,3月2日,6月9日,1.0,mistralai/Mistral-7B-v0.1,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3035.0,pretrained,ibm/PowerLM-3b,11.45,0.33,0.37,0.03,0.28,0.36,0.2,bfloat16,3.512B,apache-2.0,0.56 kg,18.0,8月14日,1月7日,0.0,ibm/PowerLM-3b,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3727.0,fine-tuned,IDEA-CCNL/Ziya-LLaMA-13B-v1,3.91,0.17,0.29,0,0.25,0.38,0.11,float16,13B,gpl-3.0,1.11 kg,274.0,5月16日,6月12日,0.0,IDEA-CCNL/Ziya-LLaMA-13B-v1,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454.0,fine-tuned,Intel/neural-chat-7b-v3,17.94,0.28,0.5,0.02,0.29,0.51,0.27,float16,7B,apache-2.0,0.49 kg,67.0,10月25日,6月12日,1.0,mistralai/Mistral-7B-v0.1,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028.0,fine-tuned,Intel/neural-chat-7b-v3-1,21.0,0.47,0.51,0.03,0.29,0.5,0.27,float16,7.242B,apache-2.0,0.56 kg,546.0,11月14日,6月12日,1.0,mistralai/Mistral-7B-v0.1,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928.0,fine-tuned,Intel/neural-chat-7b-v3-2,21.43,0.5,0.5,0.05,0.29,0.49,0.27,float16,7B,apache-2.0,0.56 kg,57.0,11月21日,6月12日,0.0,Intel/neural-chat-7b-v3-2,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2191.0,fine-tuned,Intel/neural-chat-7b-v3-3,19.99,0.48,0.49,0.01,0.29,0.49,0.26,float16,7B,apache-2.0,0.56 kg,78.0,12月9日,6月12日,2.0,mistralai/Mistral-7B-v0.1,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978.0,chat,internlm/internlm2_5-1_8b-chat,12.11,0.38,0.45,0,0.29,0.36,0.13,bfloat16,1.89B,other,0.77 kg,25.0,7月30日,8月7日,0.0,internlm/internlm2_5-1_8b-chat,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520.0,chat,internlm/internlm2_5-20b-chat,32.08,0.7,0.75,0,0.32,0.46,0.4,bfloat16,19.86B,other,3.73 kg,89.0,7月30日,8月12日,0.0,internlm/internlm2_5-20b-chat,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620.0,chat,internlm/internlm2_5-7b-chat,30.58,0.61,0.71,0.09,0.33,0.44,0.37,float16,7.738B,other,1.45 kg,187.0,6月27日,7月3日,0.0,internlm/internlm2_5-7b-chat,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3177.0,pretrained,internlm/internlm2-1_8b,8.6,0.22,0.39,0.01,0.25,0.38,0.16,bfloat16,8B,other,0.66 kg,30.0,1月30日,6月12日,0.0,internlm/internlm2-1_8b,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074.0,chat,internlm/internlm2-chat-1_8b,10.55,0.24,0.45,0.03,0.27,0.36,0.18,bfloat16,1.889B,other,0.60 kg,30.0,1月30日,6月12日,0.0,internlm/internlm2-chat-1_8b,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3142.0,pretrained,kyutai/helium-1-preview-2b,9.25,0.26,0.36,0.01,0.28,0.35,0.19,bfloat16,2.173B,cc-by-4.0,0.34 kg,132.0,1月13日,1月14日,0.0,kyutai/helium-1-preview-2b,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778.0,pretrained,LLM360/K2,14.57,0.23,0.5,0.02,0.28,0.4,0.3,float16,65.286B,apache-2.0,8.84 kg,85.0,4月17日,6月26日,0.0,LLM360/K2,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3088.0,fine-tuned,lmsys/vicuna-13b-v1.3,10.28,0.33,0.34,0.01,0.27,0.37,0.22,float16,13B,-,1.09 kg,197.0,6月18日,6月28日,0.0,lmsys/vicuna-13b-v1.3,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3198.0,fine-tuned,lmsys/vicuna-7b-v1.3,8.31,0.29,0.33,0,0.24,0.38,0.18,float16,7B,-,0.56 kg,129.0,6月18日,6月28日,0.0,lmsys/vicuna-7b-v1.3,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3063.0,fine-tuned,lmsys/vicuna-7b-v1.5,10.78,0.24,0.39,0.01,0.26,0.42,0.21,float16,7B,llama2,0.60 kg,328.0,7月29日,6月12日,0.0,lmsys/vicuna-7b-v1.5,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3053.0,chat,meta-llama/Llama-2-13b-chat-hf,11.02,0.4,0.33,0.01,0.23,0.4,0.19,float16,13.016B,llama2,0.87 kg,1053.0,7月13日,6月12日,0.0,meta-llama/Llama-2-13b-chat-hf,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054.0,pretrained,meta-llama/Llama-2-13b-hf,11.01,0.25,0.41,0.01,0.28,0.35,0.24,float16,13.016B,llama2,1.11 kg,583.0,7月13日,6月12日,0.0,meta-llama/Llama-2-13b-hf,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2944.0,chat,meta-llama/Llama-2-70b-chat-hf,12.75,0.5,0.3,0.01,0.26,0.37,0.24,float16,68.977B,llama2,22.90 kg,2175.0,7月14日,6月12日,0.0,meta-llama/Llama-2-70b-chat-hf,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409.0,pretrained,meta-llama/Llama-2-70b-hf,18.31,0.24,0.55,0.03,0.3,0.41,0.37,float16,68.977B,llama2,29.62 kg,845.0,7月11日,6月12日,0.0,meta-llama/Llama-2-70b-hf,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3133.0,pretrained,meta-llama/Llama-2-7b-chat-hf,9.4,0.4,0.31,0.01,0.25,0.37,0.17,float16,6.738B,llama2,1.16 kg,4198.0,7月13日,8月30日,0.0,meta-llama/Llama-2-7b-chat-hf,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167.0,pretrained,meta-llama/Llama-2-7b-hf,8.73,0.25,0.35,0.01,0.27,0.37,0.19,float16,6.738B,llama2,0.56 kg,1925.0,7月13日,6月12日,0.0,meta-llama/Llama-2-7b-hf,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806.0,fine-tuned,meta-llama/Llama-3.1-8B,14.22,0.12,0.47,0.05,0.31,0.38,0.33,float16,8.03B,llama3.1,0.71 kg,1375.0,7月14日,12月7日,0.0,meta-llama/Llama-3.1-8B,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464.0,pretrained,meta-llama/Llama-3.1-8B-Instruct,23.74,0.49,0.51,0.15,0.32,0.4,0.38,float16,8.03B,llama3.1,1.41 kg,3582.0,7月18日,2月6日,1.0,meta-llama/Meta-Llama-3.1-8B,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3709.0,pretrained,meta-llama/Llama-3.2-1B,4.03,0.15,0.31,0,0.23,0.34,0.12,bfloat16,1.24B,llama3.2,0.42 kg,1529.0,9月18日,9月23日,0.0,meta-llama/Llama-3.2-1B,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2854.0,chat,meta-llama/Llama-3.2-1B-Instruct,13.81,0.57,0.35,0.03,0.28,0.33,0.17,bfloat16,1.24B,llama3.2,0.40 kg,742.0,9月18日,9月23日,0.0,meta-llama/Llama-3.2-1B-Instruct,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3178.0,pretrained,meta-llama/Llama-3.2-3B,8.58,0.13,0.39,0.01,0.27,0.36,0.25,bfloat16,3.213B,llama3.2,1.33 kg,487.0,9月18日,9月27日,0.0,meta-llama/Llama-3.2-3B,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241.0,chat,meta-llama/Llama-3.3-70B-Instruct,36.83,0.9,0.69,0,0.33,0.45,0.53,bfloat16,70.554B,llama3.3,38.28 kg,1871.0,11月26日,12月3日,1.0,meta-llama/Llama-3.3-70B-Instruct (Merge),Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022.0,pretrained,meta-llama/Meta-Llama-3-70B,26.67,0.16,0.65,0.18,0.4,0.45,0.47,bfloat16,70.554B,llama3,23.41 kg,848.0,4月17日,6月12日,0.0,meta-llama/Meta-Llama-3-70B,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261.0,chat,meta-llama/Meta-Llama-3-70B-Instruct,36.51,0.81,0.65,0.25,0.29,0.42,0.52,bfloat16,70.554B,llama3,18.24 kg,1458.0,4月17日,6月12日,1.0,meta-llama/Meta-Llama-3-70B,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889.0,pretrained,meta-llama/Meta-Llama-3-8B,13.46,0.15,0.46,0.04,0.31,0.36,0.32,bfloat16,8.03B,llama3,0.87 kg,6004.0,4月17日,6月12日,0.0,meta-llama/Meta-Llama-3-8B,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093.0,chat,meta-llama/Meta-Llama-3-8B-Instruct,20.6,0.48,0.49,0.09,0.29,0.38,0.36,float16,8.03B,llama3,0.95 kg,3799.0,4月17日,7月8日,0.0,meta-llama/Meta-Llama-3-8B-Instruct,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057.0,pretrained,meta-llama/Meta-Llama-3.1-70B,26.2,0.17,0.63,0.18,0.39,0.46,0.47,bfloat16,70.554B,llama3.1,13.60 kg,344.0,7月14日,7月23日,0.0,meta-llama/Meta-Llama-3.1-70B,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,chat,meta-llama/Meta-Llama-3.1-70B-Instruct,42.18,0.87,0.69,0.31,0.36,0.46,0.53,bfloat16,70.554B,llama3.1,26.80 kg,782.0,7月16日,8月15日,1.0,meta-llama/Meta-Llama-3.1-70B,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2847.0,pretrained,meta-llama/Meta-Llama-3.1-8B,13.87,0.13,0.47,0.05,0.3,0.38,0.32,bfloat16,8.03B,llama3.1,3.60 kg,1375.0,7月14日,7月23日,0.0,meta-llama/Meta-Llama-3.1-8B,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883.0,chat,meta-llama/Meta-Llama-3.1-8B-Instruct,28.2,0.79,0.51,0.19,0.27,0.39,0.38,bfloat16,8.03B,llama3.1,2.49 kg,3582.0,7月18日,8月15日,1.0,meta-llama/Meta-Llama-3.1-8B,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3562.0,chat,microsoft/DialoGPT-medium,5.25,0.15,0.3,0,0.25,0.43,0.11,bfloat16,0.345B,mit,0.13 kg,348.0,3月2日,6月13日,0.0,microsoft/DialoGPT-medium,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2423.0,fine-tuned,microsoft/Orca-2-13b,18.15,0.31,0.49,0.01,0.28,0.51,0.27,bfloat16,13B,other,1.01 kg,666.0,11月14日,6月12日,0.0,microsoft/Orca-2-13b,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808.0,fine-tuned,microsoft/Orca-2-7b,14.22,0.22,0.45,0.01,0.26,0.5,0.23,bfloat16,7B,other,1.21 kg,218.0,11月14日,6月12日,0.0,microsoft/Orca-2-7b,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536.0,pretrained,microsoft/phi-1,5.52,0.21,0.31,0.01,0.27,0.35,0.12,bfloat16,1.418B,mit,0.29 kg,210.0,9月10日,6月13日,0.0,microsoft/phi-1,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3326.0,pretrained,microsoft/phi-1_5,7.06,0.2,0.34,0.01,0.27,0.34,0.17,float16,1.418B,mit,0.34 kg,1323.0,9月10日,6月9日,0.0,microsoft/phi-1_5,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705.0,pretrained,microsoft/phi-2,15.47,0.27,0.49,0.03,0.27,0.41,0.26,float16,2.78B,mit,0.42 kg,3269.0,12月13日,6月9日,0.0,microsoft/phi-2,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544.0,chat,microsoft/Phi-3-medium-128k-instruct,31.71,0.6,0.64,0.17,0.34,0.41,0.47,bfloat16,13.96B,mit,1.95 kg,378.0,5月7日,8月21日,0.0,microsoft/Phi-3-medium-128k-instruct,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473.0,chat,microsoft/Phi-3-medium-4k-instruct,32.9,0.64,0.64,0.18,0.34,0.43,0.47,bfloat16,13.96B,mit,1.46 kg,215.0,5月7日,6月12日,0.0,microsoft/Phi-3-medium-4k-instruct,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131.0,chat,microsoft/Phi-3-mini-128k-instruct,25.63,0.6,0.56,0.1,0.32,0.39,0.37,bfloat16,3.821B,mit,24.22 kg,1632.0,4月22日,8月21日,0.0,microsoft/Phi-3-mini-128k-instruct,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945.0,chat,microsoft/Phi-3-mini-4k-instruct,27.41,0.55,0.55,0.15,0.33,0.43,0.4,float16,3.821B,mit,0.79 kg,1128.0,4月22日,7月2日,0.0,microsoft/Phi-3-mini-4k-instruct,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082.0,chat,microsoft/Phi-3-mini-4k-instruct,25.97,0.56,0.57,0.12,0.32,0.4,0.39,bfloat16,3.821B,mit,0.80 kg,1128.0,4月22日,6月12日,0.0,microsoft/Phi-3-mini-4k-instruct,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844.0,chat,microsoft/Phi-3-small-128k-instruct,28.59,0.64,0.62,0,0.32,0.44,0.45,bfloat16,7.392B,mit,2.51 kg,173.0,5月7日,6月13日,0.0,microsoft/Phi-3-small-128k-instruct,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710.0,chat,microsoft/Phi-3-small-8k-instruct,29.67,0.65,0.62,0.03,0.31,0.46,0.45,bfloat16,7.392B,mit,1.03 kg,160.0,5月7日,6月13日,0.0,microsoft/Phi-3-small-8k-instruct,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936.0,chat,microsoft/Phi-3.5-mini-instruct,27.57,0.58,0.55,0.16,0.34,0.4,0.4,bfloat16,3.821B,mit,3.70 kg,790.0,8月16日,8月21日,0.0,microsoft/Phi-3.5-mini-instruct,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329.0,chat,microsoft/Phi-3.5-MoE-instruct,35.46,0.69,0.64,0.23,0.36,0.46,0.47,bfloat16,42B,mit,4.63 kg,551.0,8月17日,8月21日,0.0,microsoft/Phi-3.5-MoE-instruct,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380.0,chat,microsoft/phi-4,34.25,0.68,0.69,0.12,0.34,0.41,0.54,bfloat16,14.66B,mit,1.88 kg,1691.0,12月11日,1月8日,0.0,microsoft/phi-4,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735.0,pretrained,microsoft/phi-4,29.48,0.05,0.67,0.28,0.4,0.5,0.53,float16,14.66B,mit,0.88 kg,1691.0,12月11日,1月8日,0.0,microsoft/phi-4,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809.0,pretrained,mistral-community/Mistral-7B-v0.2,14.22,0.23,0.45,0.03,0.29,0.4,0.3,bfloat16,7.242B,apache-2.0,0.55 kg,232.0,3月23日,6月12日,0.0,mistral-community/Mistral-7B-v0.2,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107.0,pretrained,mistral-community/mixtral-8x22B-v0.3,25.79,0.26,0.63,0.18,0.38,0.4,0.46,bfloat16,140.63B,apache-2.0,52.49 kg,3.0,5月25日,6月13日,0.0,mistral-community/mixtral-8x22B-v0.3,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554.0,pretrained,mistralai/Codestral-22B-v0.1,23.28,0.58,0.51,0.1,0.3,0.42,0.32,bfloat16,22.247B,other,1.31 kg,1211.0,5月29日,9月28日,0.0,mistralai/Codestral-22B-v0.1,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801.0,chat,mistralai/Ministral-8B-Instruct-2410,22.01,0.59,0.48,0.06,0.28,0.41,0.33,bfloat16,8.02B,other,0.80 kg,418.0,10月15日,12月1日,0.0,mistralai/Ministral-8B-Instruct-2410,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2946.0,chat,mistralai/Mistral-7B-Instruct-v0.1,12.7,0.45,0.34,0.02,0.25,0.38,0.24,bfloat16,7.242B,apache-2.0,1.22 kg,1554.0,9月27日,6月27日,1.0,mistralai/Mistral-7B-v0.1,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2391.0,chat,mistralai/Mistral-7B-Instruct-v0.2,18.46,0.55,0.45,0.03,0.28,0.4,0.27,bfloat16,7.242B,apache-2.0,0.53 kg,2643.0,12月11日,6月12日,0.0,mistralai/Mistral-7B-Instruct-v0.2,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
